title,published_date,duration,views,likes,comments,engagement_rate,day_of_week,hour,Month,Day,Hour,TitleLength,DayOfWeek
OnePlus Watch 2 Review: Total Redemption!,2024-02-27 22:25:47+00:00,9.483333333333333,2507898,75179,3181,0.03124528988021044,Tuesday,22,2024-02,Tuesday,22,41,1
This Airless Basketball is 3D Printed!,2024-02-19 18:23:36+00:00,1.0166666666666666,30191381,1214116,15055,0.04071264577132129,Monday,18,2024-02,Monday,18,38,0
AI Generated Videos Just Changed Forever,2024-02-16 00:48:23+00:00,12.033333333333333,9070623,322161,23798,0.038140599603797884,Friday,0,2024-02,Friday,0,40,4
Apple Vision Pro is Missing Something...,2024-02-13 01:13:02+00:00,13.8,3462479,105666,7258,0.032613627403949595,Tuesday,1,2024-02,Tuesday,1,40,1
Apple Vision Pro Hidden Feature ✈️ #protip,2024-02-09 22:20:23+00:00,1.0,6078483,255193,1493,0.04222862842587534,Friday,22,2024-02,Friday,22,42,4
OnePlus 12 Review: Better Than You Think!,2024-02-09 03:45:25+00:00,14.833333333333334,3788682,97820,5317,0.027222395545469374,Friday,3,2024-02,Friday,3,41,4
In case you’re having a bad day,2024-02-04 20:02:06+00:00,1.0,4949770,295257,4849,0.060630291912553515,Sunday,20,2024-02,Sunday,20,31,6
Apple Vision Pro Review: Tomorrow's Ideas... Today's Tech!,2024-02-04 01:40:14+00:00,24.8,8326240,208895,11766,0.026501878398893137,Sunday,1,2024-02,Sunday,1,58,6
Using Apple Vision Pro: What It’s Actually Like!,2024-01-31 14:52:28+00:00,37.31666666666667,27964667,566764,32346,0.021423820280069845,Wednesday,14,2024-01,Wednesday,14,48,2
$3500 Apple Vision Pro: What Comes in the Box!,2024-01-30 15:10:21+00:00,1.0,6826481,272008,1875,0.04012067125067806,Tuesday,15,2024-01,Tuesday,15,46,1
Apple Vision Pro Unboxing!,2024-01-30 14:00:32+00:00,19.1,8837764,345096,13201,0.04054158947896776,Tuesday,14,2024-01,Tuesday,14,26,1
Samsung Galaxy S24 Ultra Review: Why Buy Anything Else?,2024-01-26 21:45:43+00:00,18.5,12573409,299890,21838,0.02558796902256182,Friday,21,2024-01,Friday,21,55,4
Taking 1000 Steps  In Every Smartwatch!,2024-01-19 23:44:36+00:00,1.0,25828776,881105,5659,0.034332405066349256,Friday,23,2024-01,Friday,23,39,4
"On ""Quitting"" YouTube",2024-01-19 03:49:53+00:00,15.733333333333333,5319109,203187,12293,0.040510544153165504,Friday,3,2024-01,Friday,3,21,4
Samsung Galaxy S24/Ultra Impressions: More Than Meets The Eye!,2024-01-17 18:01:22+00:00,10.733333333333333,5606436,175617,9131,0.03295284205509525,Wednesday,18,2024-01,Wednesday,18,62,2
Can A Gaming Phone Go Mainstream?,2024-01-16 02:00:20+00:00,12.483333333333333,2109650,80014,3706,0.03968430782357263,Tuesday,2,2024-01,Tuesday,2,33,1
